station_name,station_type,longitude,latitude,elevation,antenna_number,start_date,stop_date
HH70,herahex,21.4275860804,-30.7219529519,1051.92,75,2017-03-10 20:13:17-08:00,
HH71,herahex,21.4277385694,-30.7219524495,1052.03,91,2017-03-10 20:13:58-08:00,
SG8,stationgrid,21.4281712233,-30.7219611295,1051.89,108,2014-10-03 22:00:00-07:00,2017-03-02 01:21:57-08:00
SG9,stationgrid,21.4283278901,-30.7219606127,1051.9,36,2014-10-03 22:00:00-07:00,
HH85,herahex,21.4273568438,-30.7218396498,1051.77,11,2017-02-02 16:00:00-08:00,
HH0,herahex,21.4272073731,-30.7225246639,1052.63,80,2014-10-03 08:00:00-07:00,2014-10-04 08:00:00-07:00
HH0,herahex,21.4272073731,-30.7225246639,1052.63,80,2014-10-04 08:00:00-07:00,
HH1,herahex,21.427359863,-30.722524162,1052.62,104,2014-10-03 08:00:00-07:00,2014-10-04 08:00:00-07:00
HH1,herahex,21.427359863,-30.722524162,1052.62,104,2014-10-04 08:00:00-07:00,
HH11,herahex,21.4271306254,-30.7224108595,1052.48,64,2014-10-03 08:00:00-07:00,2014-10-04 08:00:00-07:00
HH11,herahex,21.4271306254,-30.7224108595,1052.48,64,2014-10-04 08:00:00-07:00,
HH12,herahex,21.4272831151,-30.7224103577,1052.41,53,2014-10-03 08:00:00-07:00,2014-10-04 08:00:00-07:00
HH12,herahex,21.4272831151,-30.7224103577,1052.41,53,2014-10-04 08:00:00-07:00,
HH13,herahex,21.4274356048,-30.7224098557,1052.35,31,2014-10-03 08:00:00-07:00,2014-10-04 08:00:00-07:00
HH13,herahex,21.4274356048,-30.7224098557,1052.35,31,2014-10-04 08:00:00-07:00,
HH14,herahex,21.4275880946,-30.7224093535,1052.49,65,2014-10-03 01:00:00-07:00,2014-10-04 01:00:00-07:00
HH14,herahex,21.4275880946,-30.7224093535,1052.49,65,2014-10-04 01:00:00-07:00,
HH2,herahex,21.427512353,-30.7225236599,1052.61,96,2014-10-02 04:00:00-07:00,2014-10-03 04:00:00-07:00
HH2,herahex,21.427512353,-30.7225236599,1052.61,96,2014-10-03 04:00:00-07:00,
HH23,herahex,21.4270538774,-30.7222969649,1052.34,88,2014-10-03 01:00:00-07:00,2014-10-04 01:00:00-07:00
HH23,herahex,21.4270538774,-30.7222969649,1052.34,88,2014-10-04 01:00:00-07:00,
HH24,herahex,21.4272063669,-30.7222964631,1052.36,9,2014-10-03 01:00:00-07:00,2014-10-04 01:00:00-07:00
HH24,herahex,21.4272063669,-30.7222964631,1052.36,9,2014-10-04 01:00:00-07:00,
HH25,herahex,21.4273588565,-30.7222959612,1052.35,20,2014-10-03 01:00:00-07:00,2014-10-04 01:00:00-07:00
HH25,herahex,21.4273588565,-30.7222959612,1052.35,20,2014-10-04 01:00:00-07:00,
HH26,herahex,21.4275113461,-30.7222954591,1052.34,89,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH26,herahex,21.4275113461,-30.7222954591,1052.34,89,2014-10-03 18:00:00-07:00,
HH27,herahex,21.4276638356,-30.7222949568,1052.44,43,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH27,herahex,21.4276638356,-30.7222949568,1052.44,43,2014-10-03 18:00:00-07:00,
HH37,herahex,21.4271296194,-30.7221826587,1052.26,105,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH37,herahex,21.4271296194,-30.7221826587,1052.26,105,2014-10-03 18:00:00-07:00,
HH38,herahex,21.4272821087,-30.7221821569,1052.25,22,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH38,herahex,21.4272821087,-30.7221821569,1052.25,22,2014-10-03 18:00:00-07:00,
HH39,herahex,21.4274345981,-30.7221816549,1052.22,81,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH39,herahex,21.4274345981,-30.7221816549,1052.22,81,2014-10-03 18:00:00-07:00,
HH40,herahex,21.4275870875,-30.7221811527,1052.24,10,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH40,herahex,21.4275870875,-30.7221811527,1052.24,10,2014-10-03 18:00:00-07:00,
HH52,herahex,21.4272053608,-30.7220682623,1052.1,72,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH52,herahex,21.4272053608,-30.7220682623,1052.1,72,2014-10-03 18:00:00-07:00,
HH53,herahex,21.42735785,-30.7220677604,1052.07,112,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH53,herahex,21.42735785,-30.7220677604,1052.07,112,2014-10-03 18:00:00-07:00,
HH54,herahex,21.4275103392,-30.7220672583,1052.08,97,2014-10-02 18:00:00-07:00,2014-10-03 18:00:00-07:00
HH54,herahex,21.4275103392,-30.7220672583,1052.08,97,2014-10-03 18:00:00-07:00,
PH00,paperhex,21.4284272935,-30.7225209142,1052.58,44,2014-10-03 22:00:00-07:00,
PH01,paperhex,21.4285797834,-30.7225204108,1052.51,14,2014-10-03 22:00:00-07:00,
PH02,paperhex,21.4287322733,-30.7225199073,1052.65,86,2014-10-03 22:00:00-07:00,
PH11,paperhex,21.4283505439,-30.7224070203,1052.4,69,2014-10-03 22:00:00-07:00,
PH12,paperhex,21.4285030336,-30.722406517,1052.42,40,2014-10-03 22:00:00-07:00,
PH13,paperhex,21.4286555233,-30.7224060136,1052.45,101,2014-10-03 22:00:00-07:00,
PH14,paperhex,21.428808013,-30.7224055099,1052.5,102,2014-10-03 22:00:00-07:00,
PH23,paperhex,21.4282737949,-30.7222932166,1052.35,125,2014-10-03 22:00:00-07:00,
PH24,paperhex,21.4284262845,-30.7222927134,1052.27,84,2014-10-03 22:00:00-07:00,
PH25,paperhex,21.428578774,-30.72229221,1052.29,100,2014-10-03 22:00:00-07:00,
PH26,paperhex,21.4287312635,-30.7222917065,1052.28,85,2014-10-03 22:00:00-07:00,
PH27,paperhex,21.428883753,-30.7222912028,1052.32,54,2014-10-03 22:00:00-07:00,
PH37,paperhex,21.4283495355,-30.7221789097,1052.19,17,2014-10-03 22:00:00-07:00,
PH38,paperhex,21.4285020248,-30.7221784065,1052.27,68,2014-10-03 22:00:00-07:00,
PH39,paperhex,21.4286545141,-30.722177903,1052.15,62,2014-10-03 22:00:00-07:00,
PH40,paperhex,21.4288070035,-30.7221773994,1052.21,0,2014-10-03 22:00:00-07:00,
PH52,paperhex,21.4284252754,-30.7220645126,1052.04,2,2014-10-03 22:00:00-07:00,
PH53,paperhex,21.4285777646,-30.7220640093,1052.06,21,2014-10-03 22:00:00-07:00,
PH54,paperhex,21.4287302537,-30.7220635058,1052.04,45,2014-10-03 22:00:00-07:00,
HH55,herahex,21.4276628283,-30.722066756,1052.05,8,2017-03-10 20:14:37-08:00,
HH56,herahex,21.4278153175,-30.7220662536,1052.06,92,2017-03-03 20:24:04-08:00,
HH3,herahex,21.4276648429,-30.7225231576,1052.54,29,2017-03-02 01:18:09-08:00,
PI2,paperimaging,21.4283729772,-30.7205119226,1050.67,63,2014-10-03 22:00:00-07:00,
PI20,paperimaging,21.4284867984,-30.7214041509,1051.35,42,2014-10-03 22:00:00-07:00,
HH84,herahex,21.427204355,-30.7218401517,1051.78,107,2017-02-02 16:00:00-08:00,
HH87,herahex,21.4276618215,-30.7218386454,1051.79,35,2017-02-02 16:00:00-08:00,
PI21,paperimaging,21.4283844794,-30.7214598928,1051.43,15,2014-10-03 22:00:00-07:00,
PI22,paperimaging,21.4281172726,-30.7213810067,1051.35,99,2014-10-03 22:00:00-07:00,
PI23,paperimaging,21.4282737414,-30.7213359145,1051.41,1,2014-10-03 22:00:00-07:00,
PI24,paperimaging,21.4281454376,-30.7212784971,1051.2,47,2014-10-03 22:00:00-07:00,
PI25,paperimaging,21.4282145164,-30.7212403706,1051.32,83,2014-10-03 22:00:00-07:00,
PI26,paperimaging,21.4280508837,-30.7212242168,1051.15,37,2014-10-03 22:00:00-07:00,
PI27,paperimaging,21.4280365813,-30.7211784246,1051.11,4,2014-10-03 22:00:00-07:00,
PI28,paperimaging,21.4280077816,-30.7210663576,1051.16,90,2014-10-03 22:00:00-07:00,
PI29,paperimaging,21.4280163337,-30.721016249,1051.11,82,2014-10-03 22:00:00-07:00,
PI3,paperimaging,21.4283533421,-30.7205829121,1050.59,67,2014-10-03 22:00:00-07:00,
PI30,paperimaging,21.4279573598,-30.7210011035,1051.0,98,2014-10-03 22:00:00-07:00,
PI31,paperimaging,21.4280872436,-30.7209671078,1051.05,74,2014-10-03 22:00:00-07:00,
